epoch_start_turn	task	result	turn	concepts	relations	evidence	focus	seeds	tensions	gate
645	1	ok	646	678	1073	824	laundering_vulnerability,performative_stability,provenance_l	2	2	no_evidence_at_declaration_or_missing_dialogue
645	2	ok	647	680	1075	825	evidence_collapse,foundational_axiom,provenance_locked_gate	2	2	no_evidence_at_declaration_or_missing_dialogue
645	3	ok	648	681	1076	826	performative_stability,provenance_locked_gate	2	2	no_evidence_at_declaration_or_missing_dialogue
645	4	ok	649	681	1077	827	architecture,provenance_locked_gate	2	2	no_evidence_at_declaration_or_missing_dialogue
645	5	ok	650	683	1079	828	foundational_axiom,provenance_locked_gate,topology_starvatio	2	2	no_evidence_at_declaration_or_missing_dialogue
645	6	ok	651	683	1080	829	laundering_vulnerability,provenance_locked_gate	2	1	no_evidence_at_declaration_or_missing_dialogue
645	7	ok	652	684	1080	829	provenance_locked_gate,semantic_payload_migration	1	1	The redundancy between the firewall and the gate is now resolved; the legacy con
645	8	ok	653	684	1081	831	foundational_axiom,performative_stability,stratified_certain	2	1	no_evidence_at_declaration_or_missing_dialogue
645	9	ok	654	685	1083	832	isomorphic_mutation,performative_stability,provenance_locked	2	2	no_evidence_at_declaration_or_missing_dialogue
645	10	ok	655	685	1084	833	foundational_axiom,provenance_locked_gate,topology_starvatio	1	2	no_evidence_at_declaration_or_missing_dialogue
645	11	ok	656	686	1085	834	foundational_axiom,stratified_certainty,topological_isomorph	2	2	no_evidence_at_declaration_or_missing_dialogue
